experiment_id,date,status,git_commit,contract_version,eval_version,ranking_version,dataset_version,split_version,seed,model_name,config_path,pretrained_weight,checkpoint_checksum,evaluation_scope,input_size,tile_size,tile_overlap,operating_point,score_threshold,threshold_stage,overall_recall,overall_fdr,overall_macro_recall,overall_macro_fdr,ship_recall,ship_fdr,ship_macro_recall,ship_macro_fdr,aircraft_recall,aircraft_fdr,aircraft_macro_recall,aircraft_macro_fdr,vehicle_recall,vehicle_fdr,latency_p50,latency_p95,peak_vram,artifact_ref,notes
E-M1-yolo26s-1024-cv3v2-seed42-t0051-descriptive,2026-07-25,exploratory,,contract_v1,official_eval_v1,official_ranking_v1_6,,cv3_airport_proxy_k60_v2,42,YOLO26-s,,,,cv3_oof_descriptive,1024,,,same_oof_descriptive,0.051,pre_fusion,0.9172,0.1957,0.8665,0.2335,0.8512,0.3828,0.7235,0.5201,0.9338,0.1463,0.9076,0.1571,0.6169,0.6161,,,,outputs/M1-CV3-OOF-return-no-checkpoints.tar.gz,M1 正式三折 OOF 在同一 OOF 上选 t=0.051 的描述性工作点；不是无偏阈值成绩；macro 为 V1.6 完整税表口径；OOF 非 10K，无时延
E-M1-yolo26s-1024-cv3v2-seed42-crossfit,2026-08-10,complete,,contract_v1,official_eval_v1,official_ranking_v1_6,,cv3_airport_proxy_k60_v2,42,YOLO26-s,,,,cv3_oof_crossfit,1024,,,fold_specific_crossfit,0.041|0.071|0.041,pre_fusion,0.9176,0.1990,0.8654466,0.2382542,0.8530947,0.3898667,0.7162031,0.5388671,0.9341700,0.1481992,0.9079706,0.1588517,0.6119403,0.6238532,,,,outputs/N0-CROSSFIT-M1-v2/crossfit_result.json,cross-fit pooled 无偏基线与完整 V1.6 4/20/1 macro 已重算；fold0/2 FDR=0.2259/0.2294 仍超线；缺 10K 时延时不参与完整 7 项排名模拟
R1-1-CE-D4-aircraft-only,2026-08-14,complete_iterative_oof_development,,r1_aircraft_refinement_v1,official_eval_v1,official_ranking_v1_6,,cv3_airport_proxy_k60_v2,42,YOLO26-s+C2+ConvNeXt-T-CE-D4,configs/experiments/r1_aircraft_refinement_v1.yaml,fold-specific-P03-fixed30,,cv3_oof_aircraft_conditional,224,,,fold_specific_crossfit,0.041|0.051|0.041,post_C2_aircraft_rerank,0.9301104,0.1460150,0.8912171,0.2009748,0.8385533,0.2987215,0.7176689,0.4777016,0.9513700,0.1102440,0.9406368,0.1293472,0.5970149,0.5266272,,,1.05GiB-object-model,outputs/R1-1-AIRCRAFT-PROPOSAL-REFINEMENT-return/evaluation/ce_d4_result.json,同一正式 OOF 上迭代开发而非最终独立确认；CE+D4 为六条件最强；ship/vehicle 严格旁路；三折32062飞机候选D4约124秒总计
R1-2-class-center-identity,2026-08-14,complete_failed_gate,b35dc84,r1_aircraft_refinement_v1,official_eval_v1,official_ranking_v1_6,,cv3_airport_proxy_k60_v2,42,YOLO26-s+C2+ConvNeXt-T-class-center,configs/experiments/r1_aircraft_class_center_v1.yaml,fold-specific-P03-fixed30,,cv3_oof_aircraft_conditional,224,,,fold_specific_crossfit,0.041|0.061|0.041,post_C2_aircraft_rerank,0.9229446,0.1516269,0.8803326,0.2041489,0.8385533,0.2987215,0.7176689,0.4777016,0.9429660,0.1169002,0.9270312,0.1333144,0.5970149,0.5266272,,,1.05GiB-object-model,outputs/R1-2-AIRCRAFT-CLASS-CENTER-return/evaluation/class_center_identity_result.json,主条件相对CE identity净损失74TP且macro Recall下降0.00593；class-center+D4也不及CE+D4；停止类中心
R1-4-structured-attribute-d4,2026-08-14,complete_no_admission,0bd66d0,r1_aircraft_refinement_v1,official_eval_v1,official_ranking_v1_6,,cv3_airport_proxy_k60_v2,42,YOLO26-s+C2+ConvNeXt-T-attribute-D4,configs/experiments/r1_aircraft_structured_attribute_v1.yaml,fold-specific-P03-fixed30,,cv3_oof_aircraft_conditional,224,,,fold_specific_crossfit,0.041|0.051|0.041,post_C2_aircraft_rerank,0.9302059,0.1458900,0.8903653,0.2008794,0.8385533,0.2987215,0.7176689,0.4777016,0.9514819,0.1100922,0.9395721,0.1292276,0.5970149,0.5266272,,,1.05GiB-object-model,outputs/R1-4-AIRCRAFT-STRUCTURED-ATTRIBUTE-formal/evaluation/structured_attribute_d4_result.json,相对CE+D4仅净增2TP并减少3FP但飞机macro Recall下降0.001065；不具独立增益；停止class-derived属性头
R1-6-aircraft-post-rerank-nms,2026-08-14,complete_iterative_oof_candidate,,r1_post_rerank_nms_v1,official_eval_v1,official_ranking_v1_6,,cv3_airport_proxy_k60_v2,42,YOLO26-s+C2+ConvNeXt-T-CE-D4+aircraft-NMS,configs/experiments/r1_post_rerank_nms_v1.yaml,fold-specific-P03-fixed30,,cv3_oof_aircraft_conditional,224,,,fixed_official_aircraft_iou,0.041|0.051|0.041,post_C2_aircraft_rerank_nms_iou0.50,0.9301104,0.1130649,0.8912171,0.1557939,0.8385533,0.2987215,0.7176689,0.4777016,0.9513698,0.0689220,0.9406369,0.0728707,0.5970149,0.5266272,,,,outputs/R1-6-POST-RERANK-NMS/decision.json,固定官方飞机IoU=0.50且仅处理20个飞机细类；TP/FN与Recall完全不变；FP减少847；三个外层held-out fold都确认0.50；仍属同OOF迭代开发
R1-5-view-consistency-d4,2026-08-14,complete_iterative_oof_candidate,,r1_aircraft_refinement_v1,official_eval_v1,official_ranking_v1_6,,cv3_airport_proxy_k60_v2,42,YOLO26-s+C2+ConvNeXt-T-view-consistency-D4,configs/experiments/r1_aircraft_view_consistency_v1.yaml,fold-specific-P03-fixed30,,cv3_oof_aircraft_conditional,224,,,fold_specific_crossfit,0.041|0.051|0.041,post_C2_aircraft_rerank,0.9324989,0.1468904,0.8918031,0.2008173,0.8385533,0.2987215,0.7176689,0.4777016,0.9541711,0.1114415,0.9413693,0.1291500,0.5970149,0.5266272,,,1.05GiB-object-model,outputs/R1-5-AIRCRAFT-VIEW-CONSISTENCY/evaluation/decision.json,双D4视图对称KL固定5epoch；相对CE+D4净增50TP但增加32FP；保留为高召回备选
R1-7-view-consistency-d4-post-nms,2026-08-14,complete_pareto_alternative,,r1_post_rerank_nms_v1,official_eval_v1,official_ranking_v1_6,,cv3_airport_proxy_k60_v2,42,YOLO26-s+C2+ConvNeXt-T-view-consistency-D4+aircraft-NMS,configs/experiments/r1_view_consistency_post_nms_v1.yaml,fold-specific-P03-fixed30,,cv3_oof_aircraft_conditional,224,,,fixed_official_aircraft_iou,0.041|0.051|0.041,post_C2_aircraft_rerank_nms_iou0.50,0.9324989,0.1152608,0.8918031,0.1577971,0.8385533,0.2987215,0.7176689,0.4777016,0.9541711,0.0718295,0.9413693,0.0753747,0.5970149,0.5266272,,,,outputs/R1-7-VIEW-CONSISTENCY-POST-NMS/decision.json,相对R1-6增50TP但增61FP；飞机macro Recall高0.000732但macro FDR差0.002504；只作高召回Pareto备选
R1-8-equal-probability-ensemble-d4,2026-08-14,complete_failed_gate,,r1_aircraft_refinement_v1,official_eval_v1,official_ranking_v1_6,,cv3_airport_proxy_k60_v2,42,YOLO26-s+C2+ConvNeXt-T-equal-ensemble-D4,configs/experiments/r1_equal_probability_ensemble_v1.yaml,fold-specific-P03-fixed30,,cv3_oof_aircraft_conditional,224,,,fold_specific_crossfit,0.041|0.051|0.041,post_C2_aircraft_rerank,0.9303014,0.1467379,0.8885086,0.2003413,0.8385533,0.2987215,0.7176689,0.4777016,0.9515939,0.1111518,0.9372513,0.1285549,0.5970149,0.5266272,,,,outputs/R1-8-EQUAL-PROBABILITY-ENSEMBLE/evaluation/decision.json,固定0.5/0.5概率融合仅净增4TP并增20FP，飞机macro Recall下降0.003386；停止权重搜索
R1-9-ship-vehicle-fixed-official-nms,2026-08-14,complete_failed_gate,,r1_major_post_nms_v1,official_eval_v1,official_ranking_v1_6,,cv3_airport_proxy_k60_v2,42,YOLO26-s+C2+ConvNeXt-T-CE-D4+aircraft-NMS+ship-vehicle-NMS,configs/experiments/r1_major_post_nms_v1.yaml,fold-specific-P03-fixed30,,cv3_oof_fixed_rule_diagnostic,224,,,fixed_official_iou,0.041|0.051|0.041,post_R1-6_ship0.50_vehicle0.35,0.9273396,0.1044060,0.8879151,0.1484298,0.8184191,0.2722149,0.6995191,0.4534753,0.9513698,0.0689220,0.9406369,0.0728707,0.5870647,0.4394299,,,,outputs/R1-9-SHIP-VEHICLE-POST-NMS/decision.json,固定官方IoU扩展减少219FP但误删58TP；舰船损失54TP、车辆损失4TP；停止且不搜索阈值
